	[October 24 2018, 04:31:23]	
Start here.
	October 24 2018, 04:31:23


	[October 24 2018, 04:31:25]	Now 1 iteration, used friends.getMutual method, success on the 1 try, spent 1.6183111667633057 second(-s).
	[October 24 2018, 04:31:25]	Now 2 iteration, used wall.get method, success on the 1 try, spent 0.5918009281158447 second(-s).
	[October 24 2018, 04:31:26]	Now 3 iteration, used users.get method, success on the 1 try, spent 0.17317962646484375 second(-s).
	[October 24 2018, 04:31:26]	Now 4 iteration, used friends.getMutual method, success on the 1 try, spent 0.15560173988342285 second(-s).
	[October 24 2018, 04:31:26]	Now 5 iteration, used users.get method, success on the 1 try, spent 0.1526165008544922 second(-s).
	[October 24 2018, 04:31:26]	Now 6 iteration, used wall.get method, success on the 1 try, spent 0.3646049499511719 second(-s).
	[October 24 2018, 04:31:26]	Now 7 iteration, used friends.getMutual method, success on the 1 try, spent 0.17129993438720703 second(-s).
	[October 24 2018, 04:31:27]	Now 8 iteration, used friends.getMutual method, success on the 1 try, spent 0.21595215797424316 second(-s).
	[October 24 2018, 04:31:27]	Now 9 iteration, used friends.getMutual method, success on the 1 try, spent 0.261279821395874 second(-s).
	[October 24 2018, 04:31:28]	Now 10 iteration, used wall.get method, success on the 2 try, spent 1.009202241897583 second(-s).
	[October 24 2018, 04:31:28]	Now 11 iteration, used friends.getMutual method, success on the 1 try, spent 0.21632075309753418 second(-s).
	[October 24 2018, 04:31:28]	Now 12 iteration, used photos.getAlbums method, success on the 1 try, spent 0.19589543342590332 second(-s).
	[October 24 2018, 04:31:29]	Now 13 iteration, used wall.get method, success on the 1 try, spent 0.23052096366882324 second(-s).
	[October 24 2018, 04:31:29]	Now 14 iteration, used friends.getMutual method, success on the 1 try, spent 0.13565516471862793 second(-s).
	[October 24 2018, 04:31:29]	Now 15 iteration, used photos.getAlbums method, success on the 1 try, spent 0.15042805671691895 second(-s).
	[October 24 2018, 04:31:29]	Now 16 iteration, used photos.getAlbums method, success on the 1 try, spent 0.14270901679992676 second(-s).
	[October 24 2018, 04:31:29]	Now 17 iteration, used friends.get method, success on the 1 try, spent 0.15156340599060059 second(-s).
	[October 24 2018, 04:31:29]	Now 18 iteration, used friends.get method, success on the 1 try, spent 0.13863277435302734 second(-s).
	[October 24 2018, 04:31:31]	Now 19 iteration, used users.get method, success on the 5 try, spent 1.0909383296966553 second(-s).
	[October 24 2018, 04:31:31]	Now 20 iteration, used friends.get method, success on the 1 try, spent 0.22385191917419434 second(-s).
	[October 24 2018, 04:31:31]	Now 21 iteration, used friends.getMutual method, success on the 1 try, spent 0.16854238510131836 second(-s).
	[October 24 2018, 04:31:31]	Now 22 iteration, used photos.getAlbums method, success on the 1 try, spent 0.1323258876800537 second(-s).
	[October 24 2018, 04:31:31]	Now 23 iteration, used friends.get method, success on the 1 try, spent 0.1356055736541748 second(-s).
	[October 24 2018, 04:31:31]	Now 24 iteration, used friends.getMutual method, success on the 1 try, spent 0.14162135124206543 second(-s).
	[October 24 2018, 04:31:32]	Now 25 iteration, used wall.get method, success on the 1 try, spent 0.25024962425231934 second(-s).
	[October 24 2018, 04:31:32]	Now 26 iteration, used photos.getAlbums method, success on the 1 try, spent 0.1492598056793213 second(-s).
	[October 24 2018, 04:31:32]	Now 27 iteration, used friends.get method, success on the 1 try, spent 0.14262604713439941 second(-s).
	[October 24 2018, 04:31:33]	Now 28 iteration, used friends.get method, success on the 9 try, spent 1.2260093688964844 second(-s).
	[October 24 2018, 04:31:33]	Now 29 iteration, used users.get method, success on the 1 try, spent 0.13563823699951172 second(-s).
	[October 24 2018, 04:31:34]	Now 30 iteration, used wall.get method, success on the 1 try, spent 0.2645711898803711 second(-s).
	[October 24 2018, 04:31:34]	Now 31 iteration, used users.get method, success on the 1 try, spent 0.1513535976409912 second(-s).
	[October 24 2018, 04:31:34]	Now 32 iteration, used friends.get method, success on the 1 try, spent 0.14155054092407227 second(-s).
	[October 24 2018, 04:31:34]	Now 33 iteration, used photos.getAlbums method, success on the 1 try, spent 0.1467888355255127 second(-s).
	[October 24 2018, 04:31:34]	Now 34 iteration, used users.get method, success on the 1 try, spent 0.13334107398986816 second(-s).
	[October 24 2018, 04:31:34]	Now 35 iteration, used users.get method, success on the 1 try, spent 0.13862991333007812 second(-s).
	[October 24 2018, 04:31:35]	Now 36 iteration, used photos.getAlbums method, success on the 1 try, spent 0.1336841583251953 second(-s).
	[October 24 2018, 04:31:36]	Now 37 iteration, used friends.getMutual method, success on the 12 try, spent 1.620485544204712 second(-s).
	[October 24 2018, 04:31:36]	Now 38 iteration, used friends.getMutual method, success on the 1 try, spent 0.14860248565673828 second(-s).
	[October 24 2018, 04:31:36]	Now 39 iteration, used friends.getMutual method, success on the 1 try, spent 0.139237642288208 second(-s).
	[October 24 2018, 04:31:37]	Now 40 iteration, used friends.getMutual method, success on the 1 try, spent 0.15259146690368652 second(-s).
	[October 24 2018, 04:31:37]	Now 41 iteration, used users.get method, success on the 1 try, spent 0.13515210151672363 second(-s).
	[October 24 2018, 04:31:37]	Now 42 iteration, used friends.get method, success on the 1 try, spent 0.13654851913452148 second(-s).
	[October 24 2018, 04:31:37]	Now 43 iteration, used users.get method, success on the 1 try, spent 0.14657807350158691 second(-s).
	[October 24 2018, 04:31:37]	Now 44 iteration, used wall.get method, success on the 1 try, spent 0.2941246032714844 second(-s).
	[October 24 2018, 04:31:38]	Now 45 iteration, used friends.getMutual method, success on the 1 try, spent 0.30019664764404297 second(-s).
	[October 24 2018, 04:31:39]	Now 46 iteration, used users.get method, success on the 6 try, spent 1.6924729347229004 second(-s).
	[October 24 2018, 04:31:40]	Now 47 iteration, used friends.get method, success on the 1 try, spent 0.15059947967529297 second(-s).
	[October 24 2018, 04:31:40]	Now 48 iteration, used users.get method, success on the 1 try, spent 0.13639140129089355 second(-s).
	[October 24 2018, 04:31:40]	Now 49 iteration, used photos.getAlbums method, success on the 1 try, spent 0.14074277877807617 second(-s).
	[October 24 2018, 04:31:40]	Now 50 iteration, used photos.getAlbums method, success on the 1 try, spent 0.14760375022888184 second(-s).
	[October 24 2018, 04:31:40]	Now 51 iteration, used wall.get method, success on the 1 try, spent 0.25731658935546875 second(-s).
	[October 24 2018, 04:31:40]	Now 52 iteration, used users.get method, success on the 1 try, spent 0.15518832206726074 second(-s).
	[October 24 2018, 04:31:41]	Now 53 iteration, used users.get method, success on the 1 try, spent 0.14256906509399414 second(-s).
	[October 24 2018, 04:31:41]	Now 54 iteration, used users.get method, success on the 1 try, spent 0.15760374069213867 second(-s).
	[October 24 2018, 04:31:42]	Now 55 iteration, used photos.getAlbums method, success on the 10 try, spent 1.3454184532165527 second(-s).
	[October 24 2018, 04:31:42]	Now 56 iteration, used users.get method, success on the 1 try, spent 0.15238738059997559 second(-s).
	[October 24 2018, 04:31:43]	Now 57 iteration, used wall.get method, success on the 1 try, spent 0.2606844902038574 second(-s).
	[October 24 2018, 04:31:43]	Now 58 iteration, used users.get method, success on the 1 try, spent 0.1356353759765625 second(-s).
	[October 24 2018, 04:31:43]	Now 59 iteration, used photos.getAlbums method, success on the 1 try, spent 0.13167810440063477 second(-s).
	[October 24 2018, 04:31:43]	Now 60 iteration, used users.get method, success on the 1 try, spent 0.14261746406555176 second(-s).
	[October 24 2018, 04:31:43]	Now 61 iteration, used wall.get method, success on the 1 try, spent 0.274463415145874 second(-s).
	[October 24 2018, 04:31:43]	Now 62 iteration, used users.get method, success on the 1 try, spent 0.13685965538024902 second(-s).
	[October 24 2018, 04:31:44]	Now 63 iteration, used friends.getMutual method, success on the 1 try, spent 0.2093203067779541 second(-s).
	[October 24 2018, 04:31:45]	Now 64 iteration, used users.get method, success on the 11 try, spent 1.4928162097930908 second(-s).
	[October 24 2018, 04:31:45]	Now 65 iteration, used users.get method, success on the 1 try, spent 0.14250659942626953 second(-s).
	[October 24 2018, 04:31:46]	Now 66 iteration, used friends.getMutual method, success on the 1 try, spent 0.16452932357788086 second(-s).
	[October 24 2018, 04:31:46]	Now 67 iteration, used photos.getAlbums method, success on the 1 try, spent 0.14464449882507324 second(-s).
	[October 24 2018, 04:31:46]	Now 68 iteration, used photos.getAlbums method, success on the 1 try, spent 0.13866758346557617 second(-s).
	[October 24 2018, 04:31:46]	Now 69 iteration, used photos.getAlbums method, success on the 1 try, spent 0.13866090774536133 second(-s).
	[October 24 2018, 04:31:46]	Now 70 iteration, used friends.get method, success on the 1 try, spent 0.16353702545166016 second(-s).
	[October 24 2018, 04:31:46]	Now 71 iteration, used friends.getMutual method, success on the 1 try, spent 0.2672734260559082 second(-s).
	[October 24 2018, 04:31:47]	Now 72 iteration, used photos.getAlbums method, success on the 1 try, spent 0.19849753379821777 second(-s).
	[October 24 2018, 04:31:48]	Now 73 iteration, used users.get method, success on the 8 try, spent 1.695918321609497 second(-s).
	[October 24 2018, 04:31:48]	Now 74 iteration, used users.get method, success on the 1 try, spent 0.13364267349243164 second(-s).
	[October 24 2018, 04:31:49]	Now 75 iteration, used photos.getAlbums method, success on the 1 try, spent 0.15360784530639648 second(-s).
	[October 24 2018, 04:31:49]	Now 76 iteration, used photos.getAlbums method, success on the 1 try, spent 0.13463211059570312 second(-s).
	[October 24 2018, 04:31:49]	Now 77 iteration, used friends.getMutual method, success on the 1 try, spent 0.14956331253051758 second(-s).
	[October 24 2018, 04:31:49]	Now 78 iteration, used photos.getAlbums method, success on the 1 try, spent 0.13567018508911133 second(-s).
	[October 24 2018, 04:31:49]	Now 79 iteration, used photos.getAlbums method, success on the 1 try, spent 0.16359162330627441 second(-s).
	[October 24 2018, 04:31:50]	Now 80 iteration, used wall.get method, success on the 1 try, spent 0.24331903457641602 second(-s).
	[October 24 2018, 04:31:50]	Now 81 iteration, used friends.get method, success on the 1 try, spent 0.15058541297912598 second(-s).
	[October 24 2018, 04:31:51]	Now 82 iteration, used users.get method, success on the 11 try, spent 1.5124788284301758 second(-s).
	[October 24 2018, 04:31:51]	Now 83 iteration, used friends.getMutual method, success on the 1 try, spent 0.13866138458251953 second(-s).
